,func,target,project
0,"    function withdrawReward(address recipient) public {
        uint amountToWithdraw = rewardsForA[recipient];
        rewardsForA[recipient] = 0;
        (bool success, ) = recipient.call.value(amountToWithdraw)("""");
        require(success);
    }",False,reentrancy_bonus.sol
1,"    function getFirstWithdrawalBonus(address recipient) public {
        require(!claimedBonus[recipient]);  
        rewardsForA[recipient] += 100;
        withdrawReward(recipient);  
        claimedBonus[recipient] = true;
    }",True,reentrancy_bonus.sol
2,"  function balanceOf(address _owner) public view returns (uint256 bal) {
    require(active);
    return balances[_owner];
  }",False,0xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816.sol
3,"  function transfer(address _to, uint256 _value) public returns (bool) {
    require(active);
    require(_to != address(0));
    require(_to != msg.sender);
    require(_value <= balances[msg.sender]);
    uint256 bal = balances[_to] + _value;
    require(bal >= balances[_to]);
    balances[msg.sender] = balances[msg.sender] - _value;
    balances[_to] = bal;
    emit Transfer(msg.sender, _to, _value);
    return true;
  }",False,0xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816.sol
4,"  function deactivate() public onlyOwner {
    active = false;
  }",False,0xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816.sol
5,"  function activate() public onlyOwner {
    active = true;
  }",False,0xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816.sol
6,"  function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0));
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
  }",False,0xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816.sol
7,"  function kill() public onlyOwner {
    require(!active);
    selfdestruct(msg.sender);
  }",False,0xa5b91fbfec2f9a708592f9cd3c9e20becdfcb816.sol
8,"  function mul(uint256 a, uint256 b) internal pure returns (uint256) {
    if (a == 0) {
      return 0;
    }
    uint256 c = a * b;
    assert(c / a == b);
    return c;
  }",False,buggy_19.sol
9,"  function div(uint256 a, uint256 b) internal pure returns (uint256) {
    uint256 c = a / b;
    return c;
  }",False,buggy_19.sol
10,"  function sub(uint256 a, uint256 b) internal pure returns (uint256) {
    assert(b <= a);
    return a - b;
  }",False,buggy_19.sol
11,"  function add(uint256 a, uint256 b) internal pure returns (uint256) {
    uint256 c = a + b;
    assert(c >= a);
    return c;
  }",False,buggy_19.sol
12,"    function withdraw_balances_re_ent1 () public {
       (bool success,) =msg.sender.call.value(balances_re_ent1[msg.sender ])("""");
       if (success)
          balances_re_ent1[msg.sender] = 0;
      }",True,buggy_19.sol
13,"function bug_re_ent41() public{
        require(not_called_re_ent41);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent41 = false;
    }",True,buggy_19.sol
14,"    function transferOwnership(address newOwner) onlyOwner public {
        require(newOwner != address(0));
        owner = newOwner;
    }",False,buggy_19.sol
15,"function callme_re_ent42() public{
        require(counter_re_ent42<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent42 += 1;
    }",True,buggy_19.sol
16,"	  function buyTicket_re_ent2() public{
	    if (!(lastPlayer_re_ent2.send(jackpot_re_ent2)))
        revert();
      lastPlayer_re_ent2 = msg.sender;
      jackpot_re_ent2    = address(this).balance;
    }",True,buggy_19.sol
17,"    function withdrawForUser(address payable _address,uint amount) onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method"");
        _address.transfer(amount);
    }",False,buggy_19.sol
18,"function withdrawFunds_re_ent17 (uint256 _weiToWithdraw) public {
        require(balances_re_ent17[msg.sender] >= _weiToWithdraw);
        (bool success,)=msg.sender.call.value(_weiToWithdraw)("""");
        require(success);   
        balances_re_ent17[msg.sender] -= _weiToWithdraw;
    }",True,buggy_19.sol
19,"    function moveBrick(uint amount) onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(amount);
    }",False,buggy_19.sol
20,"	  function buyTicket_re_ent37() public{
	    if (!(lastPlayer_re_ent37.send(jackpot_re_ent37)))
        revert();
      lastPlayer_re_ent37 = msg.sender;
      jackpot_re_ent37    = address(this).balance;
    }",True,buggy_19.sol
21,"    function moveBrickContracts() onlyOwner public
    {
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
22,"function withdrawFunds_re_ent3 (uint256 _weiToWithdraw) public {
        require(balances_re_ent3[msg.sender] >= _weiToWithdraw);
	(bool success,)= msg.sender.call.value(_weiToWithdraw)("""");
        require(success);   
        balances_re_ent3[msg.sender] -= _weiToWithdraw;
    }",True,buggy_19.sol
23,"    function moveBrickClear() onlyOwner public {
        require(msg.sender == owner, ""only owner can use this method""); 
        selfdestruct(msg.sender);
    }",False,buggy_19.sol
24,"	  function buyTicket_re_ent9() public{
	    (bool success,) = lastPlayer_re_ent9.call.value(jackpot_re_ent9)("""");
	    if (!success)
	        revert();
      lastPlayer_re_ent9 = msg.sender;
      jackpot_re_ent9    = address(this).balance;
    }",True,buggy_19.sol
25,"    function joinFlexible() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
26,"function claimReward_re_ent25() public {        
        require(redeemableEther_re_ent25[msg.sender] > 0);
        uint transferValue_re_ent25 = redeemableEther_re_ent25[msg.sender];
        msg.sender.transfer(transferValue_re_ent25);    
        redeemableEther_re_ent25[msg.sender] = 0;
    }",True,buggy_19.sol
27,"    function joinFixed() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
28,"function withdrawBalance_re_ent19() public{
        if( ! (msg.sender.send(userBalance_re_ent19[msg.sender]) ) ){
            revert();
        }
        userBalance_re_ent19[msg.sender] = 0;
    }",True,buggy_19.sol
29,"    function staticBonus() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
30,"function withdrawBalance_re_ent26() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent26[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent26[msg.sender] = 0;
    }",True,buggy_19.sol
31,"    function activeBonus() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
32,"function bug_re_ent20() public{
        require(not_called_re_ent20);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent20 = false;
    }",True,buggy_19.sol
33,"    function teamAddBonus() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
34,"function claimReward_re_ent32() public {        
        require(redeemableEther_re_ent32[msg.sender] > 0);
        uint transferValue_re_ent32 = redeemableEther_re_ent32[msg.sender];
        msg.sender.transfer(transferValue_re_ent32);    
        redeemableEther_re_ent32[msg.sender] = 0;
    }",True,buggy_19.sol
35,"    function staticBonusCacl() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
36,"function withdrawFunds_re_ent38 (uint256 _weiToWithdraw) public {
        require(balances_re_ent38[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent38[msg.sender] -= _weiToWithdraw;
    }",True,buggy_19.sol
37,"    function activeBonusCacl_1() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
38,"function claimReward_re_ent4() public {        
        require(redeemableEther_re_ent4[msg.sender] > 0);
        uint transferValue_re_ent4 = redeemableEther_re_ent4[msg.sender];
        msg.sender.transfer(transferValue_re_ent4);    
        redeemableEther_re_ent4[msg.sender] = 0;
    }",True,buggy_19.sol
39,"    function activeBonusCacl_2() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
40,"function callme_re_ent7() public{
        require(counter_re_ent7<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent7 += 1;
    }",True,buggy_19.sol
